Title,Author,Published Date,Categories,Description,ISBN_13,Maturity Rating
Maldita Eternidad,Renée Ahdieh,2022-06-28,Young Adult Fiction,"Following the events of The Beautiful, Sébastien Saint Germain is now cursed and forever changed. The treaty between the Fallen and the Brotherhood has been broken, and war between the immortals seems imminent. The price of loving Celine was costly. But Celine has also paid a high price for loving Bastien. Still recovering from injuries sustained during a night she can't quite remember, her dreams are troubled. And she doesn't know she has inadvertently set into motion a chain of events that could lead to her demise and unveil a truth about herself she's not ready to learn. Forces hiding in the shadows have been patiently waiting for this moment. And just as Bastien and Celine begin to uncover the danger around them, they learn their love could tear them apart.",9788417854218,NOT_MATURE
"The Beautiful Quartet Seires, Set of 3 Books. the Beautiful, the Damned, the Righteous",Renée Ahdieh,2022-08-30,Fiction,,9781637992678,NOT_MATURE
The Beautiful,Renée Ahdieh,2022-03-31,,,9783492706049,NOT_MATURE
The Beautiful,Renée Ahdieh,2022-03-31,Fiction,"»Die Vampire sind zurück - und sie sind verführerischer denn je!« Bustle 1872 ist New Orleans eine Stadt, die von den Toten beherrscht wird. Als die junge Schneiderin Celine dort ankommt, ist sie von der wilden Lebensfreude der Stadt sofort verzaubert. Eigentlich wollte sie hier ein respektables Leben führen, doch sie findet stattdessen Freunde in der schillernden Unterwelt der Stadt. Besonders der rätselhafte Sébastien Saint Germain geht ihr nicht mehr aus dem Kopf. Doch als sich eine grausame Mordserie ereignet, stellt sich die Frage, welches Spiel hier überhaupt gespielt wird – und ob die Mitspieler menschlich oder doch etwas ganz anderes sind ... ***Der erste Band der düster-romantischen »Hof der Löwen«-Reihe*** Band 1: The Beautiful. Tödliche Dämmerung Band 2: The Damned. Jäger und Gejagte",9783492600927,NOT_MATURE
The Damned,Renée Ahdieh,2020-11-04,Young Adult Fiction,"In 19th century New Orleans, Sâebastien Saint Germain, cursed and forever changed, and Celine, recovering from injuries sustained during a night she cannot remember, uncover the danger around them, including their love.",9781432881610,NOT_MATURE
The Damned,Renée Ahdieh,2020-07-07,Young Adult Fiction,"New York Times bestselling author Renée Ahdieh returns with the second installment of her new sumptuous, sultry and romantic series, The Beautiful. 'Captivating . . . Ahdieh's darkest and most compelling novel yet' Cultress on The Beautiful Following the events of The Beautiful, Sébastien Saint Germain is now cursed and forever changed. The treaty between the Fallen and the Brotherhood has been broken, and war between the immortals seems imminent. The price of loving Celine was costly. But Celine has also paid a high price for loving Bastien. Still recovering from injuries sustained during a night she can't quite remember, her dreams are troubled. And she doesn't know she has inadvertently set into motion a chain of events that could lead to her demise and unveil a truth about herself she's not quite ready to learn. Forces hiding in the shadows have been patiently waiting for this moment for centuries. And just as Bastien and Celine begin to uncover the danger around them, they learn their love could tear them apart. The Damned, the latest installment in The Beautiful series, is just as decadent, thrilling, and mysterious as the last.",9781529368369,NOT_MATURE
The Damned,Renée Ahdieh,2022-06-30,Fiction,"Die Unterwelt von New Orleans ist in Aufruhr: Ein uraltes Abkommen wurde gebrochen, ein Krieg zwischen Vampiren und Werwölfen scheint unvermeidlich. Sébastien muss seinen Platz unter den Vampiren finden, und Celine hat ihr Gedächtnis verloren und kann sich nicht mehr an ihre Liebe zu ihm erinnern. In den Schatten regen sich zudem unbekannte Mächte, die geduldig nur auf diesen Moment gewartet haben, um ihre eigenen Ziele zu verfolgen. Celine und Sébastien ahnen nicht, in welcher Gefahr sie schweben – und dass ihre Liebe genau das sein könnte, das sie für immer trennen wird ... ***Der zweite Band der »Hof der Löwen«-Reihe*** Band 1: The Beautiful. Tödliche Dämmerung Band 2: The Damned. Jäger und Gejagte",9783492600996,NOT_MATURE
"The Beautiful Quartet Seires, Set of 3 Books. the Beautiful, the Damned, the Righteous",Renée Ahdieh,2022-08-30,Fiction,,9781637992678,NOT_MATURE
The Damned,Renée Ahdieh,2022-06-30,,,9783492706056,NOT_MATURE
How It All Blew Up,Arvin Ahmadi,2020-09-22,Young Adult Fiction,"Simon vs. the Homo Sapiens Agenda goes to Italy in Arvin Ahmadi's newest incisive look at identity and what it means to find yourself by running away. Eighteen-year-old Amir Azadi always knew coming out to his Muslim family would be messy--he just didn't think it would end in an airport interrogation room. But when faced with a failed relationship, bullies, and blackmail, running away to Rome is his only option. Right? Soon, late nights with new friends and dates in the Sistine Chapel start to feel like second nature... until his old life comes knocking on his door. Now, Amir has to tell the whole truth and nothing but the truth to a US Customs officer, or risk losing his hard-won freedom. At turns uplifting and devastating, How It All Blew Up is Arvin Ahmadi's most powerful novel yet, a celebration of how life's most painful moments can live alongside the riotous, life-changing joys of discovering who you are.",9780593202883,NOT_MATURE
Leah on the Offbeat,Becky Albertalli,2018-04-24,Young Adult Fiction,"#1 New York Times bestseller! Goodreads Choice Award for the best young adult novel of the year! In this sequel to the acclaimed Simon vs. the Homo Sapiens Agenda—now a major motion picture, Love, Simon—we follow Simon’s BFF Leah as she grapples with changing friendships, first love, and senior year angst. When it comes to drumming, Leah Burke is usually on beat—but real life isn’t always so rhythmic. She’s an anomaly in her friend group: the only child of a young, single mom, and her life is decidedly less privileged. She loves to draw but is too self-conscious to show it. And even though her mom knows she’s bisexual, she hasn’t mustered the courage to tell her friends—not even her openly gay BFF, Simon. So Leah really doesn’t know what to do when her rock-solid friend group starts to fracture in unexpected ways. With prom and college on the horizon, tensions are running high. It’s hard for Leah to strike the right note while the people she loves are fighting—especially when she realizes she might love one of them more than she ever intended. Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!",9780062643827,NOT_MATURE
Simon vs. the Homo Sapiens Agenda,Becky Albertalli,2015-04-07,Young Adult Fiction,"Now a major motion picture: Love, Simon, starring Nick Robinson and Katherine Langford! This edition includes new Simon and Blue emails, a behind-the-scenes scrapbook from the Love, Simon movie set, and Becky Albertalli in conversation with fellow authors Adam Silvera and Angie Thomas. William C. Morris Award Winner: Best Young Adult Debut of the Year * National Book Award Longlist ""A remarkable gift of a novel.""—Andrew Smith, author of Grasshopper Jungle ""I am so in love with this book.""—Nina LaCour, author of Hold Still ""Feels timelessly, effortlessly now.""—Tim Federle, author of Better Nate Than Ever ""The best kind of love story.""—Alex Sanchez, Lambda Award-winning author of Rainbow Boys and Boyfriends with Girlfriends Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now change-averse Simon has to find a way to step out of his comfort zone before he's pushed out—without alienating his friends, compromising himself, or fumbling a shot at happiness with the most confusing, adorable guy he's never met. Incredibly funny and poignant, this twenty-first-century coming-of-age, coming out story—wrapped in a geek romance—is a knockout of a debut novel by Becky Albertalli. Plus don't miss Yes No Maybe So, Becky Albertalli's and Aisha Saeed's heartwarming and hilarious new novel, coming in 2020!",9780062348692,NOT_MATURE
Simon Vs. the Homo Sapiens Agenda Epic Reads Edition,Becky Albertalli,2020-12-15,Young Adult Fiction,"Don't miss this Epic Reads paperback, featuring a brand-new look and an exclusive Q&A with Becky Albertalli--available for a limited time only! With a stunning new design, this Epic Reads edition of Becky Albertalli's beloved bestselling novel is the perfect addition to any YA bookshelf! Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now Simon is actually being blackmailed: If he doesn't play wingman for class clown Martin, his sexual identity will become everyone's business. Worse, the privacy of Blue, the pen name of the boy he's been emailing with, will be jeopardized. With some messy dynamics emerging in his once tight-knit group of friends and his email correspondence with Blue growing more flirtatious every day, Simon's junior year has suddenly gotten all kinds of complicated. Now change-averse Simon has to find a way to step out of his comfort zone before he's pushed out-without alienating his friends, compromising himself, or fumbling a shot at happiness with the most confusing, adorable guy he's never met. --Andrew Smith, author of Grasshopper Jungle",9780063048188,NOT_MATURE
